"","worktime","sector","sex","isced11","country","Year","Total"
"1","FT","PRIV","F","ED5","AT","2005",NA
"2","FT","PRIV","F","ED5","BE","2005",NA
"3","FT","PRIV","F","ED5","BG","2005",NA
"4","FT","PRIV","F","ED5","CH","2005",NA
"5","FT","PRIV","F","ED5","CY","2005",NA
"6","FT","PRIV","F","ED5","CZ","2005",NA
"7","FT","PRIV","F","ED5","DE","2005",NA
"8","FT","PRIV","F","ED5","DK","2005",NA
"9","FT","PRIV","F","ED5","EE","2005",NA
"10","FT","PRIV","F","ED5","EL","2005",NA
"11","FT","PRIV","F","ED5","ES","2005",NA
"14","FT","PRIV","F","ED5","FI","2005",NA
"15","FT","PRIV","F","ED5","FR","2005",NA
"16","FT","PRIV","F","ED5","HR","2005",NA
"17","FT","PRIV","F","ED5","HU","2005",NA
"18","FT","PRIV","F","ED5","IE","2005",NA
"19","FT","PRIV","F","ED5","IS","2005",NA
"20","FT","PRIV","F","ED5","IT","2005",NA
"21","FT","PRIV","F","ED5","LI","2005",NA
"22","FT","PRIV","F","ED5","LT","2005",NA
"23","FT","PRIV","F","ED5","LU","2005",NA
"24","FT","PRIV","F","ED5","LV","2005",NA
"25","FT","PRIV","F","ED5","ME","2005",NA
"26","FT","PRIV","F","ED5","MK","2005",NA
"27","FT","PRIV","F","ED5","MT","2005",NA
"28","FT","PRIV","F","ED5","NL","2005",NA
"29","FT","PRIV","F","ED5","NO","2005",NA
"30","FT","PRIV","F","ED5","PL","2005",NA
"31","FT","PRIV","F","ED5","PT","2005",NA
"32","FT","PRIV","F","ED5","RO","2005",NA
"33","FT","PRIV","F","ED5","RS","2005",NA
"34","FT","PRIV","F","ED5","SE","2005",NA
"35","FT","PRIV","F","ED5","SI","2005",NA
"36","FT","PRIV","F","ED5","SK","2005",NA
"37","FT","PRIV","F","ED5","TR","2005",NA
"38","FT","PRIV","F","ED5","UK","2005",NA
"39","FT","PRIV","F","ED5-8","AT","2005",NA
"40","FT","PRIV","F","ED5-8","BE","2005",NA
"41","FT","PRIV","F","ED5-8","BG","2005",NA
"42","FT","PRIV","F","ED5-8","CH","2005",NA
"43","FT","PRIV","F","ED5-8","CY","2005",NA
"44","FT","PRIV","F","ED5-8","CZ","2005",NA
"45","FT","PRIV","F","ED5-8","DE","2005",NA
"46","FT","PRIV","F","ED5-8","DK","2005",NA
"47","FT","PRIV","F","ED5-8","EE","2005",NA
"48","FT","PRIV","F","ED5-8","EL","2005",NA
"49","FT","PRIV","F","ED5-8","ES","2005",NA
"52","FT","PRIV","F","ED5-8","FI","2005",NA
"53","FT","PRIV","F","ED5-8","FR","2005",NA
"54","FT","PRIV","F","ED5-8","HR","2005",NA
"55","FT","PRIV","F","ED5-8","HU","2005",NA
"56","FT","PRIV","F","ED5-8","IE","2005",NA
"57","FT","PRIV","F","ED5-8","IS","2005",NA
"58","FT","PRIV","F","ED5-8","IT","2005",NA
"59","FT","PRIV","F","ED5-8","LI","2005",NA
"60","FT","PRIV","F","ED5-8","LT","2005",NA
"61","FT","PRIV","F","ED5-8","LU","2005",NA
"62","FT","PRIV","F","ED5-8","LV","2005",NA
"63","FT","PRIV","F","ED5-8","ME","2005",NA
"64","FT","PRIV","F","ED5-8","MK","2005",NA
"65","FT","PRIV","F","ED5-8","MT","2005",NA
"66","FT","PRIV","F","ED5-8","NL","2005",NA
"67","FT","PRIV","F","ED5-8","NO","2005",NA
"68","FT","PRIV","F","ED5-8","PL","2005",NA
"69","FT","PRIV","F","ED5-8","PT","2005",NA
